score,text
0,아무것도 모르고 영화순위높은것만 보고 봤는데 뭐가 더 나올줄알고 엄청 집중해서 봤는데 그냥 그대로 끝났네요..딱 끝나면 뭐지?싶어요...연출이랑 몰입감은 좋았고 현실적이였어요 하지만 저한테는 좀 지루했어요..
0,이 영화가 개봉되기를 기다려왔다. 보고싶었고 궁금했다. 그리고 오늘 영화를 보았다. 기대를 떠나서 최소한의 영화적 감동선이 있어야 하는데 보는 내내 고개를 갸우뚱할 수밖에 없었다. 스토리도 영상미도 없었다. 그랬다는...
0,재미 진짜 없음 이 여섯 글자도 아까움
0,무엇을 말하려는건지 그냥 평범할 남의 일상을 돈내고 보는 낭비
0,한줄평 첨 써봅니다. 휴
1,내밀하고 진솔한 경험이 우리 삶의 놀라운 찬가가 되다.
0,미나리는 미국영화이고 미국인 브래드 피트가 제작자이고 미국인이 감독인 영화다. 그 영화에 한국인 여배우가 등장을 했다. 한국인이 제작자였고 한국인이 감독이고 제작비가 20억이었다면? 작년에 심은경은 아카데미에서 주연...
0,보는 내내 짜증난건 나만 그런가...
1,자극적이지 않고 담담해서 더 가슴을 후벼파는 영화... 주변 어딘가에서 한번쯤 들어봤을 법한 이야기라 더 그렇다
0,진짜 영화가 너무 평범하다 못해... 아.. 연기력은 그냥 너무도 평범했다. 솔직히 왜 상을 받을만했는지 전혀 이해를 못하겠음. 감동도 재미도 전혀 없는 그런 영화.
0,여러가지 상을 휩쓸어 호기심과 기대감으로 모처럼의 영화관 나들이를 했는데 결론 부터 말씀드리면 대실망~ 허탈합니다. 스토리 진부하고 배우들의 연기는 그저 평범 그이상 이하도 아님! 감동이나 메세지도 전혀 없는 딱 삼...
0,영상미 음악은 좋으나일단 영화라는 건 재미 있어야 되지 않나 싶다돈 아깝다
0,쌉노잼이였어요 돈아까워라
0,솔직히 돈아까움
0,평점이 왜 높은지 이해가 안되네요..보는내내 지루하고 윤여정의 연기는 그닥 잘 하는지 모르겠더군요.솔직한 객관적 생각입니다..
0,드라마 시티 아칸소판... 코로나로 영화가 없으니..
0,저 지금 봤는데요이거 무슨 ㅡㅡ 내용이 없는데요??? 주말 두명에 거의 4만원 돈 내고 봤는데아 진짜 장난하나ㅋㅋ영화광 저희 엄마가3처넌 짜리 독립영화 수준이라며ㅋㅋ뭐 다 느끼는 바가 다르겠지만정말 돈아깝네요 ㅋ...
0,이게 솔직히 재밌냐? 시간아까움
0,갑자기 싸운다고? 갑자기 병 걸린다고? 갑자기 낫는다고? 갑자기 불난다고? 이렇게 끝난다고??? 미나리는 갑자기 왜나온건지 어디서나 잘자라는것 만 가지고 억지로 같다붙인.. 배우가 아깝
0,돈 아깝다. 솔직하게들 후기 적어주세요. ㅠ ㅜ 국뽕에 취해서 뭐 있는듯이 하고들 있지만 솔직히 돈 아깝짆아요. ㅠ 실망스럽잖아요... ㅠ ㅜ
1,담담하고 담백하고 담대하다
0,50대여자친구셋이함께봤다.다들화가많이나서헤어졌다..너무지루하고졸려서힘들어했다.ㅠㅠ
0,진짜 ㅈ노잼인데 댓글알바가 양심챙겨
1,데이뷧 너무 커여워 ㅋㅋㅋㅋ퓌퓌~
0,잔잔하긴 하더라...근데 경의적인 모우먼트는 없더라.글쎄..
1,"어느 곳이든지 뿌리 내리고 잘 자라는 미나리와 같은 우리들의 삶을 그린 영화. 사실적이어서 아프기도하지만 또 사실적이어서 따뜻하다. 코로나로 삶이 많이 변화 한 오늘도 우리 모두 적응하고 살아가는 것처럼, 그럼에도 ..."
1,최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움
1,친정엄마가 생각나고이민자들의고단한 삶이가슴이 먹먹합니다
0,평점 10점씩 준 놈들 유튜브 광고 5초도 제대로 못참을 놈들이 태반일 텐데 지적허영심에 걸려서 이딴 재미도 없는 영화 잔잔하다느니 뭐니 빨아주는 거 보면 개극혐 ㅋㅋ 보다가 너무 지루해서 휴대폰으로 계속 몇 분 지...
0,기대이하 어처구니없는 전개 머지? 소문난잔치에 먹을게없다 연기력도 그렇고 어이없는 끝맺음잔뜩기대하게 해놓고 ???  기대하고본다면 진짜 실망할것
0,북미에서 외래종 식물인 미나리를 저렇게 무개념하게 심어서야...한류(미나리)를 심어서 미국 토종을 작살내고 번성하자는 모티브인가
0,간만에 꿀잠 잤다 이딴것 만들지마라
0,"이렇게 내용도 없고, 잼없는 영화 첨 봄."
0,별루내요 근대 머때메 날리난것만냥 온방송 마다 나오는지 대통령 연설보다 방송5체널에서 방영을 해대내요 그정도는 아닌가요 돌리는체널 마다 미나리 미나리 미나리 미나리 미나리먹고 미첫나요 외들그러는거에요 낮에 체널 돌리...
0,영화 전부 엉망진창 이다
0,아니 이게 대체 뭔 내용이여엑소시스트임 미나리 캐는 내용임
0,미나리에 삼겹살이 더 맛있습니다
0,감동 흥미 다 내 관점에선 아니다...보고나니 낚였다는 기분밖에 안든다...
0,봉준호 감독이 보편적이고 아름답다라고 말한걸 자랑스럽게 예고편에 영상에 넣었는데 ;;; 보편적이다는게 결국은 흔하다는거 아님?
0,내 잃어버린 115분은 어디에?
0,와 무슨 아카데미상 수상했다길래 네이버시리즈온으로 결제해서 봤는데 노잼도 이런 노잼이 없다 절대 돈주고 보지마세요 무료로 풀리면 보세요
0,"아니, 대체 이게 뭐야...."
0,꿀잠용 영화. 평점만 높게 나오는 재미없는 자칭 평론가들 그들만의 리그
0,같은 미국인이 만든 미나리는 고용창출도 안 되는 데 호평일색이고 고용창출 쿠팡은 왜 욕을 먹지? 한국인의 이중성이란 참
0,"개연성과 주제의식이 없음보편적인 이민1세대의 삶을 그렸다기엔 가족의 특수성이 도드라지고, 한 편의 이야기라고 하기엔 개연성이 없음우연에 기반한 진행이 스토리의 주요한 부분을 차지함"
0,밋밋하고 잼없어요..산만하게 끝까지 본내가 자랑스럽네요 10점만점에 0점..
0,노잼 대학졸업작품걑은느낌
0,평식이형 평론했음 1~2개였을건데 이상황에 글캐하면 욕먹을거 알고 평론안했네 ㅋㅋ
0,개 쓰렉영화 절대 보지 말아라~돈과 시간이 아깝다..소문난 잔치에 먹을게 없다.난 왜 여우조연상 줬는지도 이해가 불가하다.
1,서로 엉겨붙고서라도 꿋꿋이 자라는 미나리들
1,남들은 공감대가 잘 형성될지 모르겠지만 저한테는 도입부에 트럭과 헤치백카로 이사가는 장면부터 울컥했네요.. 영화 스토리가 너무 저와 제 와이프 이야기를 하는것 같았고.. 아이와 장모님은 없었지만 그외적인 이야기들이 ...
0,잘모르겠다 미국정서에 어울리는 듯
0,미나리 나물 광고 영화였음.그냥 뻔한 스토리를 제작비 들어  왜 만들었는지 이해안감.  스토리도 너무 어설픔.  실습생이 만든 연습용 작품큰 실망함.   연습용 영화는 무료로 해주었으면 좋겠음. 댓글 평점 알바 속지...
0,"엄복동보다 더 재미없는 영화이딴영화가 1위하고있는것도 웃기고 ㅋㅋㅋ마지막결말 열린결말?말 그대로 미나리맛있겠더라 엄복동보다 못한영화였다,."
0,히틀러의 만행에 침묵으로 동조한 독일국민들은 자신들의 과오에 대해 철저하게 반성하고 있다. 영화평론가는 자신의 평론을 통해 평론가의 가치를 인정받아야 한다. 그런데 한국의 자칭 평론가들은 흥행작에 대해 평론이 아닌 ...
0,솔직히 재미없네요 비추~
1,미나리....잡초같이 짓밟혀도 일어나는 한국인의 근성
1,정말 감동적이었습니다.
0,왜 상받았는지 몰겟음. 걍 심심한 영화. 윤여정씨 딸로 나온분 연기가 더 좋았음
0,핵노잼. 갑자기 끝. 왜 상 받는지 모르겠음.
0,"아니 아무리 영알못이라해도... 뭘 얘기하려는지는 알것는데 근데 아니 진짜 이게 이렇게 난리날?? 미국감성과 달라서인가...도무지... 윤여정 연기야 항시 최고지만 여우조연,주연상을? 크게 한게 있나...끝나고..멍..."
0,솔직히 윤여정이 이런 발 연기를 하는데 아카데이 조연상에 언급된다는게 난 정말 이해가 안된다..극중 비중있는 역도 아니고..
0,별한개도 아까움..이게뭐람??? 내가 영화를 그렇게 마니봤어도..아휴 진짜 이걸 2시간을봤네
0,졸려요 그냥 졸려요 흐규흐규흐규
0,내가 뭘 본거지.. 영화관에서 졸은 건 처음이다
0,진짜 이렇게 노잼이여도 되는건가....상은 돌려먹기인가....
0,제발 내 시간 돌려줘..
1,데이빗의 할머니사랑이 감동입니다..
0,절대.보지.마세요. 우~~~
0,괜히받네....감동없고 ....
0,그냥 지루하고 연기도 못해서 집중이 안됨.돈아까워요...
0,일단 평론가들이 높게 주었다는건 안좋다는걸 의미. 그분들은 상영도중 필림끊어져 영상안나오면  감동이라며 10점주는 사이코들이다.
0,참~ 그냥 그렇네요좀 마음을 쫄깃하게했다 놓았다 하는곳이 한곳도 없고 그냥 밋밋 하네요
0,스크린쿼터제떄문에 영화관에서 이영화만해서 어쩔수없이본 ...;잼있는 외국영화 겁나많은데..젠장할..
0,기대이하 지루해 죽을 뻔 했네
0,이 밋밋함과 싱거움은 뭐지...
0,아 너무 지루해서 잘뻔했어요
0,"이 영화는 이민자 스토리 다룬 프리미엄이 매우 존나 크다. 쓰뢔기 수준의 대사분량과 스토리, 소문난 잔치에 상차림도 안된 수준"
0,외국에서 상받았다고 평점이 높아야되는것은 아니다. 아무리 힘들고 모든게 불이타도 미나리처럼 우리는 살아간다? 이건뭐 개연성도 없고 감동도 없고. 영상미는 좋드라~~
0,내돈내고 본 2021 최악... ㅡㅡ
0,솔직히 여우조연상급 연기인지 이해가 안됨.
0,제목 미나리??? 스토리??? 영상미??? 결론??? 명절에 TV에서 특선영화 할때까지 기다리심이 좋을듯... ㅠㅠ
1,30대 중반이 접어들고 보니..그냥 영화라기 보다는 삶을 보여주는 것 같았습니다.영상이랑 음악이 정말 좋았고 배우분들의 자연스런 연기와 꼬마친구들이 보는 내내 즐거움을 주었습니다..영화 끝나고 아빠랑 만약 그때 아빠...
0,참내.. 어이가 없어서...
0,터무니없는 국뽕에 빠져서 허우적거리지 말자
0,"이 영화의 진 교훈 : 앞으로 모든 예술작품은(문학,영화, 음악, 미술 등) 서구인의 시각에서 아직 나오지 않은 테마를 선정해야 히트한다. 서구인에겐 아직 생소했으니 마치 프랑스 예술영화처럼 잔잔한 울림이 있었겠지...."
0,왜 계속 영상이 끊기는 듯한 느낌이 드는지 모르겠다 . 허한 이 느낌 뭐지 ... 밥을 잔뜩 먹었는데 뭘 안 먹은 듯 뱃속이 허한 느낌 .
0,유명 영화제와 실제 관람객 사이의 괴리를 적나라하게 볼 수 있는 영화. 시간이 소중하지 않으신 분들께 추천
1,손자가 할머니를 마음으로 받아들여가는 과정은 당연하고 진부하여도 감동적이었습니다.한국적 또 미국적 가치관 / 종교 또 비종교인의 가치관 / 가족의 유대 또는 개인의 성취 등 여러 가치관이 어지럽게 혼재하는 어려움 그...
1,한 사람의 잔잔한 추억을 공유받은 느낌
1,공감능력을 가진 관객이라면 가슴먹먹함에 엔딩 크레딧 에 쉽게 일어나지 못할거 같아요.한예리의 연기도 훌륭하고특히 윤여정님의 눈빛이 잊혀지지가 않습니다....연출면에서 감정선을 매끄럽게 이어나가고 있다는 느낌이 들지않...
1,새 시대의 미국 영화. 어디에도 속하지 않는 이들은 소속감을 스스로 만들어내야 한다. 이민자들을 위한 영화이기 때문에 우리는 크게 감동하지 못할 수도 있다. 하지만 분명 좋은 영화.
1,큰메세지가있네요~ 우리사는 이야기같습니다..
1,"생각보다 별 건 없다고 느꼈다. 다만 영화 중간중간에 나오는 미국 아저씨의 말들은 위로로 다가왔다. ""괜찮다."" ""모든 것이 잘 될거야"" . 막상 힘들고 앞길이 보이지 않을 때는 옆에서 ..."
0,내가 본 영화 중에 최악은 아니여도 그 언저리에  가깝다. 기대가 커서 만은 아니리라. 그냥 스토리 전개가 뭐가 없다. 그냥 인생 극장 제일 무난한 편을 감흥 없이 본 느낌이다.
0,넥플렉스로 본게 신의한수다 진짜...
0,초중반까진 미국에 정착하는 이민자의 일대기가 매우 재밌고 흥미진진하다. 가족간의 정서 변화도 일품. 하지만 후반부에 개연성 없는 억지전개+억지 감동이 매우 짜증나게한다. 윤여정님의 수상이 캐리한 영화. 남자아이도 귀...
0,기대이상 봤는데  딱히  감동을  못 느꼈네요
0,맏딸 애니가 너무 불쌍해
0,"과대평가된 영화. 연출, 각본, 연기 모두 아쉬운 부분이 많았다."
0,상받은 영화 재밌는거 본적있냐?
0,홍보가   미나리를   살린거지왜  돈주고  봤나  후회스럽네요
0,연기는 연기지만 흐름이 어긋나는듯한 스토리?중간마다 포인트 는있지만 흐지부지 한거같아요
0,영화관에서 안보길 잘했다
0,대체 어떻게 봐야 재밌는지 어디서 감동을 받아야할지 모르겠다
0,수상 소식에 궁금해서 봤는데..연기도 스토리도 별로 감흥이 없네요.
0,도대체? 왜?  라는  단어만 나옵니다. 솔직히그 어떤  요소가  하나도 없군요.
0,이민자 삶을 공감할수 없었고 그들의 아픔을 공감하기 부족했다 또한 윤여정이 보여준 연기가 수상에 버금가는지도 모르겠고 스토리 또한 잔잔해서 박진감과 스릴 넘치는 팬들에겐 아쉬움이 남겠다
0,잔잔하기만하고 큰 내용 없었음..
0,장면연결이 어색하고 주제는 뚜렷하나 대본이 너무 엉성함
0,그냥 다큐나 비급 영화 보는게 낫것다.
0,결말이 뭐야 이게? 왜 상을 받았지? 용두사미가 따로 없네 뭘 말하고자 하는지 모르겠다. 그냥 미국에서 아시아인 단독으로 나온 영화가 없어 신기해서 줬나 어이가 없을 정도로 스토리가 형편 없다. 억지로 꾸역꾸역 넣은...
0,데이빗의 병이 할머니한테 옮아간걸 그린 영환가?미나리는 아무데서나 잘자라니 이사터를 잘잡았다는건가?대체 뭔내용인지..그리고 엔딩....영화관에서 실수로 내용 잘라먹은줄...
0,최악최악 산으로가고 바다에빠지고 총체적난국
0,"오늘 극장가서 보고 왔지만, 지금 이슈가 되는만큼의 내용도 배우들의 연기도 없었다.윤여정의 박카스 할머니 연기가 훨씬 더 훌륭하다. 너무 기대 했었나, 가슴이 먹먹한 것으로 기대 했지만 영화내용보다 수상소감이 더 재..."
0,어디까지나 전문가의 평은 거르는 것이 맞는 거 같단 생각이 듭니다~ 아역이외의 배역은 정말~ 그냥 그랬고~ 감독은 자신이 느낀 감정을 여러 사람들에게 들려 주기엔 부족 한 거 같았습니다~ 상을 위한 영화인지 ㅎㅎㅎ ...
0,나는 하나도 공감이 안된다. 상 많이 받으면 니들은 찬사를 보내겠지.
0,이게 왜 작품성 평가를 받노. 미국인은 코로나 걸려서 눈도 실명했노? 내가 연기해도 윤여정 빼고 나머지보다 연기 잘할 자신있다.
1,한예리 연기 굿
1,흠. 가장도 아내도 애들의 입장도 공감이 많이 가네요. 저희들도 비슷한 경험을 해왔던터라.  절박한 심정. 가슴속 눈물. 저마다의 사람들이 저마다 힘든 경험을 겪어 가면서도 걸어가게 되는 길이듯.  하지만 항상 그늘...
0,"비추천 영화.1. 재미 없음2. 기억에 남은한 팩트 장면이 없음3. 질루함4. 졸림 (수명유도)5. 이야기가 먼 산으로 감6. 수 많은 영화를 많이 보고 , 좋아하지만 이건 큰 돈 주고 관람하기엔 너무 아갑다는......"
0,솔직히 지루해요 연기는 잘하시지만 내용이 뭘 말하고 싶은지도 모르겠고 계속 비슷한 장면만 반복 돼요
0,재미없어요 진짜..완전
0,솔직히 재미없음..ㅋㅋ재미로 보는건 아니겠지만  역시 이런 상잗은 영화들은 하나같이.재미가 없음...  근데 다들 연기는 잘한
0,"평점이 왜이리 높지????나도 감독하겠다 ㅡ,.ㅡ;; 어떻게 아카데미상 탄건지 의문임"
0,좌파 문재인민국 국뽕 pc충들 영화
0,2배속으로 보기에도 시간아까울 듯한 답답한 영화..
0,음.. 윤여정이 각종 영화제에서 상 받은 것은 대단하지만 그녀의 연기를 브라운관에서 자주 보는 한국인으로서 사실 이번 미나리에서의 연기가 딱히 놀랍지 않다. 윤여정은 무슨 배역을 맡아도 윤여정으로 연기하는데 이번에도...
0,이게? 정말 이게!???
0,상까지 받은 영화를 평하기는 뭐하지만 개인적으로 지루해서 중간에 나가려고 했다
0,영상미 빼면 인물 연관관계나 특별한 사건의 흐름도 없이 드릅게 지루하고 기승승승 거리다 급 엔딩. 이따위로 꿈보다 해몽식 개똥철학 붙일거면 모든 영화가 수작이어야함.
0,미국놈들에겐 이런 영화가 통하지. 서편제 같은 영화는 이해도 못해서 쓰레시 취급받았지...그냥 흔한 영화. 드라마.여명의 눈동자가 천배 낫다.
0,내가 뭘 본거지.. 진심 실망했다...
0,미나리말고 고사리는 없냐?
0,영화봤는ㄷㅔ아무생각없이 보기엔 좋은데내용이 딱히 임팩트가없음.뭐물론 그냥 스토리는 볼만함기대이하
0,이게 진짜 왜? 모두들 연기도 어색하고
0,불면증으로 고생하시는 분들께 추천드립니다
0,잘 모르겠어요 미국판 전원일기 같은 느낌아래 호평 하신 내용들을 보면 훌륭한작품이다 라는 글들이 있는데 글쎄요 미국인들을 비롯해 백인들이 보기에는 장면장면 배우들 연기등 다른 영화들에서 느껴보지못한 문화적차이가 아닌...
0,"진짜 노잼,,,,아니 이게 정말로 재밌나요,,,?"
